,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
28,"frozenset({'cleaning_fee_True', 'Family/kid friendly'})",frozenset({'cancellation_policy_strict'}),0.39768725290442714,0.4368312396270459,0.21732266465167113,0.5464662572524005,1.2509779697050922,0.04360044898155571,1.2417350844970505,0.3330917571843737
29,"frozenset({'cleaning_fee_True', 'cancellation_policy_strict'})",frozenset({'Family/kid friendly'}),0.37515348598723536,0.4996019484287083,0.21732266465167113,0.5792900046757544,1.1595030934080062,0.029895252092626223,1.189413270739217,0.2201526144368276
30,"frozenset({'cancellation_policy_strict', 'Family/kid friendly'})",frozenset({'cleaning_fee_True'}),0.24327022979044946,0.7340745638299307,0.21732266465167113,0.8933385101780464,1.216958813444207,0.03874417682543993,2.493171965007892,0.23559203146208194
31,frozenset({'cleaning_fee_True'}),"frozenset({'cancellation_policy_strict', 'Family/kid friendly'})",0.7340745638299307,0.24327022979044946,0.21732266465167113,0.296049850192085,1.2169588134442073,0.03874417682543993,1.0749763607778724,0.6704116251500141
32,frozenset({'Family/kid friendly'}),"frozenset({'cleaning_fee_True', 'cancellation_policy_strict'})",0.4996019484287083,0.37515348598723536,0.21732266465167113,0.4349916275049964,1.159503093408006,0.029895252092626223,1.105906645690087,0.2749043351581667
33,frozenset({'cancellation_policy_strict'}),"frozenset({'cleaning_fee_True', 'Family/kid friendly'})",0.4368312396270459,0.39768725290442714,0.21732266465167113,0.4974979922159758,1.2509779697050922,0.04360044898155571,1.1986275433041602,0.3562438569421874
34,"frozenset({'cleaning_fee_True', 'First aid kit'})",frozenset({'Fire extinguisher'}),0.2915221761951667,0.4145673381819163,0.20203478565934882,0.6930340199028003,1.6717043434779466,0.08117921305311895,1.9071581210162394,0.5671428024729103
35,"frozenset({'cleaning_fee_True', 'Fire extinguisher'})",frozenset({'First aid kit'}),0.32510693419330466,0.3714968088407929,0.20203478565934882,0.6214410226612435,1.6728031247438402,0.08125859707452249,1.6602517144819577,0.595947775138407
36,"frozenset({'First aid kit', 'Fire extinguisher'})",frozenset({'cleaning_fee_True'}),0.25299888005829096,0.7340745638299307,0.20203478565934882,0.7985599999999999,1.0878458937926216,0.016314743131097903,1.3201223002882703,0.10810177779550514
37,frozenset({'cleaning_fee_True'}),"frozenset({'First aid kit', 'Fire extinguisher'})",0.7340745638299307,0.25299888005829096,0.20203478565934882,0.2752237928055438,1.0878458937926216,0.016314743131097903,1.0306645175802385,0.3036646296192896
38,frozenset({'First aid kit'}),"frozenset({'cleaning_fee_True', 'Fire extinguisher'})",0.3714968088407929,0.32510693419330466,0.20203478565934882,0.5438398953944501,1.6728031247438404,0.08125859707452249,1.4795091876574518,0.6399347317266945
39,frozenset({'Fire extinguisher'}),"frozenset({'cleaning_fee_True', 'First aid kit'})",0.4145673381819163,0.2915221761951667,0.20203478565934882,0.48733888816560345,1.6717043434779468,0.08117921305311895,1.3819613141121008,0.686343835403292
